                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     83,                0.65782,                 0.3278,                0.41835,                0.99681,                0.52301,                0.66831,                0.63693,                0.54557,                0.52236,                0.67043,                0.65012,                0.53507,                0.61318,                0.35781,                0.31589,                 1.0349,               0.001882,               0.001882,               0.001882
                     84,                0.64334,                0.32365,                0.41072,                0.99273,                0.76172,                0.66764,                0.60292,                0.52492,                 0.7631,                0.66914,                0.60669,                0.50693,                0.61587,                0.35792,                  0.317,                 1.0331,               0.001783,               0.001783,               0.001783
                     85,                0.63919,                0.32168,                0.41015,                0.98775,                 0.7944,                0.64538,                0.62049,                0.54013,                0.79473,                0.64576,                0.63005,                0.52166,                0.61036,                0.35817,                0.31314,                  1.028,               0.001684,               0.001684,               0.001684
                     86,                0.63835,                0.32665,                0.40835,                0.98975,                0.78115,                0.62151,                0.62833,                0.53947,                 0.7824,                0.62284,                0.63247,                0.52074,                0.61203,                 0.3583,                0.31415,                 1.0253,               0.001585,               0.001585,               0.001585
                     87,                0.64832,                0.32251,                0.40904,                0.99208,                0.77792,                0.64708,                0.66043,                0.56652,                0.77886,                0.64813,                0.66541,                0.54831,                0.60375,                0.35523,                0.30888,                 1.0209,               0.001486,               0.001486,               0.001486
                     88,                0.63926,                 0.3161,                 0.3989,                0.98465,                0.51276,                0.66958,                0.64682,                0.55965,                0.51391,                0.67086,                0.65161,                0.53703,                0.60591,                0.35607,                0.30877,                 1.0206,               0.001387,               0.001387,               0.001387
                     89,                0.63111,                0.31568,                0.39629,                 0.9788,                0.50876,                0.62463,                0.60584,                0.52648,                0.50968,                0.62567,                  0.608,                0.50747,                0.60356,                0.35638,                0.30997,                 1.0215,               0.001288,               0.001288,               0.001288
                     90,                0.56846,                0.33997,                0.30673,                0.99682,                0.51605,                0.62457,                0.59855,                0.52256,                0.51682,                0.62542,                 0.6014,                0.50603,                0.60745,                0.35905,                0.30926,                 1.0244,               0.001189,               0.001189,               0.001189
                     91,                0.56244,                0.33891,                0.29261,                 0.9889,                0.58742,                0.63602,                0.61362,                0.53278,                0.58858,                 0.6373,                0.62518,                0.51735,                0.60606,                 0.3593,                  0.311,                 1.0295,                0.00109,                0.00109,                0.00109
                     92,                  0.561,                0.33323,                0.28752,                0.98466,                0.58239,                0.65964,                0.66862,                0.58258,                 0.5703,                0.66454,                0.67499,                0.56601,                 0.6098,                0.35715,                0.30805,                 1.0304,               0.000991,               0.000991,               0.000991
                     93,                  0.555,                 0.3365,                0.28569,                0.98196,                0.62484,                0.64553,                0.66348,                0.57385,                 0.6262,                0.64701,                0.67483,                0.55681,                0.60713,                0.35644,                0.30455,                 1.0293,               0.000892,               0.000892,               0.000892
                     94,                0.55421,                0.33496,                0.28801,                0.98335,                0.86716,                0.61984,                0.65655,                0.56969,                 0.8686,                0.62132,                0.66572,                0.54751,                0.60582,                0.35534,                0.30373,                 1.0258,               0.000793,               0.000793,               0.000793
                     95,                0.54483,                 0.3248,                0.28114,                0.97122,                0.62104,                0.63586,                0.66009,                0.56977,                0.62247,                0.63736,                0.66123,                 0.5453,                0.60128,                0.35581,                0.30096,                 1.0239,               0.000694,               0.000694,               0.000694
                     96,                0.53726,                0.33509,                0.27633,                0.97075,                0.61781,                0.70571,                0.66358,                0.57596,                0.61898,                0.70699,                0.66712,                0.55867,                0.60315,                 0.3552,                0.29888,                  1.025,               0.000595,               0.000595,               0.000595
                     97,                0.53839,                 0.3293,                0.27132,                0.97645,                0.69287,                0.65774,                0.66214,                0.57739,                0.69471,                0.65965,                0.66551,                0.55801,                0.60198,                0.35523,                0.29663,                 1.0221,               0.000496,               0.000496,               0.000496
                     98,                0.53861,                0.32672,                0.26769,                0.96899,                0.71213,                0.65728,                0.64873,                0.56578,                 0.7128,                0.65876,                0.65795,                0.54789,                0.60137,                 0.3554,                0.29707,                  1.025,               0.000397,               0.000397,               0.000397
                     99,                0.52613,                0.32497,                0.26696,                0.95912,                0.68104,                0.65836,                 0.6589,                 0.5763,                0.66513,                0.69092,                0.66984,                0.55708,                0.59818,                0.35482,                0.29759,                 1.0228,               0.000298,               0.000298,               0.000298
                    100,                0.58242,                0.65982,                 0.6687,                0.58257,                0.57037,                0.66476,                0.67508,                0.56609,                0.60971,                0.35714,                0.30813,                 1.0304
